"","discharge","threshold","def.increase","event.no","event.orig"
"1",0,0,0,1,1
"2",-0.401632168946654,0,0.401632168946654,1,1
"3",0.67123381824645,0,-0.67123381824645,0,0
"4",1.54910647815911,0,-1.54910647815911,0,0
"5",1.11032550904322,0,-1.11032550904322,0,0
"6",0.975677483056723,0,-0.975677483056723,0,0
"7",0.968721962830571,0,-0.968721962830571,0,0
"8",0.831818648453482,0,-0.831818648453482,0,0
"9",0.737010367643715,0,-0.737010367643715,0,0
"10",-0.730525332335618,0,0.730525332335618,2,2
"11",-0.962004189586323,0,0.962004189586323,2,2
"12",0.873309883920182,0,-0.873309883920182,0,0
"13",1.64128493766306,0,-1.64128493766306,0,0
"14",0.850100055159052,0,-0.850100055159052,0,0
"15",0.101723796384779,0,-0.101723796384779,0,0
"16",-0.0756827040805936,0,0.0756827040805936,3,3
"17",-0.895607997859181,0,0.895607997859181,3,3
"18",-0.568848509515481,0,0.568848509515481,3,3
"19",-5.85501771183706e-05,0,5.85501771183706e-05,3,3
"20",1.03585960214055,0,-1.03585960214055,0,0
"21",1.60287594142909,0,-1.60287594142909,0,0
"22",-0.0996167262517417,0,0.0996167262517417,4,4
"23",-1.08579234836197,0,1.08579234836197,4,4
"24",0.447259422557519,0,-0.447259422557519,0,0
"25",-0.594942180728407,0,0.594942180728407,5,5
"26",-0.401632168946101,0,0.401632168946101,5,5
"27",-0.713338886075012,0,0.713338886075012,5,5
"28",-0.121952885133104,0,0.121952885133104,5,5
"29",1.64400162640448,0,-1.64400162640448,0,0
"30",0.202678339079254,0,-0.202678339079254,0,0
"31",-0.238952515486076,0,0.238952515486076,6,6
"32",0.668484608599208,0,-0.668484608599208,0,0
"33",0.475619520100965,0,-0.475619520100965,0,0
"34",-0.147628788449983,0,0.147628788449983,7,7
"35",0.660088299441677,0,-0.660088299441677,0,0
"36",0.476762198277374,0,-0.476762198277374,0,0
"37",-0.594942180728323,0,0.594942180728323,8,8
"38",-0.401632168945618,0,0.401632168945618,8,8
"39",-0.713338886074888,0,0.713338886074888,8,8
"40",-1,0,1,8,8
"41",-0.818007701668118,0,0.818007701668118,8,8
"42",0.64060862838172,0,-0.64060862838172,0,0
"43",0.189900906760714,0,-0.189900906760714,0,0
"44",-0.116580244499689,0,0.116580244499689,9,9
"45",0.354104314031478,0,-0.354104314031478,0,0
"46",-0.505522080272439,0,0.505522080272439,10,10
"47",-1.09177623508418,0,1.09177623508418,10,10
"48",0.331364021442186,0,-0.331364021442186,0,0
"49",1.19791723943143,0,-1.19791723943143,0,0
"50",2.25184984234181,0,-2.25184984234181,0,0
"51",2.02984309407249,0,-2.02984309407249,0,0
"52",1.48497335094429,0,-1.48497335094429,0,0
"53",0.267817654803202,0,-0.267817654803202,0,0
"54",-0.159250846286798,0,0.159250846286798,11,11
"55",0.0216495944011021,0,-0.0216495944011021,0,0
"56",-0.371345810929051,0,0.371345810929051,12,12
"57",-0.53274586262506,0,0.53274586262506,12,12
"58",-0.213120821742392,0,0.213120821742392,12,12
"59",0.0963313753141791,0,-0.0963313753141791,12,0
"60",-0.368946758104999,0,0.368946758104999,12,13
"61",-0.202135306516894,0,0.202135306516894,12,13
"62",-0.401632168946638,0,0.401632168946638,12,13
"63",-0.218772720774111,0,0.218772720774111,12,13
"64",-0.884052518614681,0,0.884052518614681,12,13
"65",0.860574170675859,0,-0.860574170675859,0,0
"66",0.552615823115664,0,-0.552615823115664,0,0
"67",-0.0831790940002115,0,0.0831790940002115,14,14
"68",-0.281550820345406,0,0.281550820345406,14,14
"69",-0.561065793946525,0,0.561065793946525,14,14
"70",-0.932143501311585,0,0.932143501311585,14,14
"71",-0.502703718033418,0,0.502703718033418,14,14
"72",-0.644950191853777,0,0.644950191853777,14,14
"73",0.0949235704723891,0,-0.0949235704723891,0,0
"74",0.702357610897348,0,-0.702357610897348,0,0
"75",0.113940309832986,0,-0.113940309832986,0,0
"76",-0.540588794291909,0,0.540588794291909,15,15
"77",0.2251947882237,0,-0.2251947882237,0,0
"78",1.29394659792225,0,-1.29394659792225,0,0
"79",0.0234078551609628,0,-0.0234078551609628,0,0
"80",-1.15148182061423,0,1.15148182061423,16,16
"81",-0.479623148303287,0,0.479623148303287,16,16
"82",-0.766146668285097,0,0.766146668285097,16,16
"83",-0.113834672337328,0,0.113834672337328,16,16
"84",1.2782304566793,0,-1.2782304566793,0,0
"85",0.606278154680708,0,-0.606278154680708,0,0
"86",1.45301705768546,0,-1.45301705768546,0,0
"87",1.43010705276541,0,-1.43010705276541,0,0
"88",0.580249190188899,0,-0.580249190188899,0,0
"89",1.17740674535622,0,-1.17740674535622,0,0
"90",-0.363238306567689,0,0.363238306567689,17,17
"91",-3,0,3,17,17
"92",-1.7037696303025,0,1.7037696303025,17,17
"93",-1.53328125896825,0,1.53328125896825,17,17
"94",-0.848935500609527,0,0.848935500609527,17,17
"95",0.000828991232774031,0,-0.000828991232774031,0,0
"96",1.40716626075395,0,-1.40716626075395,0,0
"97",2.01013985960912,0,-2.01013985960912,0,0
"98",-0.401632168946654,0,0.401632168946654,18,18
"99",-0.713338886075153,0,0.713338886075153,18,18
"100",0.542270958703646,0,-0.542270958703646,0,0
"101",0.237572449791376,0,-0.237572449791376,0,0
"102",-1.02063736185503,0,1.02063736185503,19,19
"103",0.0814595645178916,0,-0.0814595645178916,0,0
"104",0.0887436416909906,0,-0.0887436416909906,0,0
"105",-0.0725484017645535,0,0.0725484017645535,20,20
"106",-0.053471891849499,0,0.053471891849499,20,20
"107",-1.80213384654842,0,1.80213384654842,20,20
