"","discharge","threshold","def.increase","event.no","event.orig"
"1",-0.0442085299434216,0,0.0442085299434216,1,1
"2",0.0220295356426395,0,-0.0220295356426395,0,0
"3",0.391829827479682,0,-0.391829827479682,0,0
"4",-0.724160379058062,0,0.724160379058062,2,2
"5",-0.53999742515266,0,0.53999742515266,2,2
"6",-0.809642059063151,0,0.809642059063151,2,2
"7",-0.832505466969415,0,0.832505466969415,2,2
"8",-0.834121660135648,0,0.834121660135648,2,2
"9",-0.873816272555138,0,0.873816272555138,2,2
"10",-0.858566973302427,0,0.858566973302427,2,2
"11",-0.913858470159821,0,0.913858470159821,2,2
"12",-0.811043221724315,0,0.811043221724315,2,2
"13",2.49601043640935,0,-2.49601043640935,0,0
"14",1.199708743577,0,-1.199708743577,0,0
"15",0.787498117831144,0,-0.787498117831144,0,0
"16",0.419008710071731,0,-0.419008710071731,0,0
"17",-0.5223524701917,0,0.5223524701917,3,3
"18",-0.809642059063151,0,0.809642059063151,3,3
"19",-0.832505466969415,0,0.832505466969415,3,3
"20",-0.834121660135648,0,0.834121660135648,3,3
"21",-0.873816272555138,0,0.873816272555138,3,3
"22",-0.858566973302427,0,0.858566973302427,3,3
"23",-0.913858470159821,0,0.913858470159821,3,3
"24",-0.811043221724315,0,0.811043221724315,3,3
"25",-0.938890640904847,0,0.938890640904847,3,3
"26",0.822701758642075,0,-0.822701758642075,0,0
"27",0.708680609879387,0,-0.708680609879387,0,0
"28",0.468107682960847,0,-0.468107682960847,0,0
"29",-0.248720202204028,0,0.248720202204028,4,4
"30",-0.809642059063151,0,0.809642059063151,4,4
"31",-0.832505466969415,0,0.832505466969415,4,4
"32",-0.834121660135648,0,0.834121660135648,4,4
"33",-0.873816272555138,0,0.873816272555138,4,4
"34",-0.858566973302427,0,0.858566973302427,4,4
"35",-0.913858470159821,0,0.913858470159821,4,4
"36",-0.811043221724315,0,0.811043221724315,4,4
"37",0.165681830872679,0,-0.165681830872679,0,0
"38",0.434209457223213,0,-0.434209457223213,0,0
"39",1.02214081158594,0,-1.02214081158594,0,0
"40",-0.864445983753023,0,0.864445983753023,5,5
"41",-1.26396903268755,0,1.26396903268755,5,5
"42",-0.809642059063151,0,0.809642059063151,5,5
"43",-0.832505466969415,0,0.832505466969415,5,5
"44",-0.834121660135648,0,0.834121660135648,5,5
"45",-0.873816272555138,0,0.873816272555138,5,5
"46",-0.858566973302427,0,0.858566973302427,5,5
"47",-0.913858470159821,0,0.913858470159821,5,5
"48",-0.811043221724315,0,0.811043221724315,5,5
"49",1.39408956521802,0,-1.39408956521802,0,0
"50",0.503038267070056,0,-0.503038267070056,0,0
"51",0.351414485727641,0,-0.351414485727641,0,0
"52",0.612855095251678,0,-0.612855095251678,0,0
"53",-0.00560125557209818,0,0.00560125557209818,6,6
"54",-0.809642059063151,0,0.809642059063151,6,6
"55",-0.832505466969415,0,0.832505466969415,6,6
"56",-0.834121660135648,0,0.834121660135648,6,6
"57",-0.873816272555138,0,0.873816272555138,6,6
"58",-0.858566973302427,0,0.858566973302427,6,6
"59",-0.913858470159821,0,0.913858470159821,6,6
"60",-0.811043221724315,0,0.811043221724315,6,6
"61",0.636189912017875,0,-0.636189912017875,0,0
"62",1.32197265956927,0,-1.32197265956927,0,0
"63",-0.187707986078955,0,0.187707986078955,7,7
"64",-0.220078377385752,0,0.220078377385752,7,7
"65",-0.621414732296733,0,0.621414732296733,7,7
"66",-0.809642059063151,0,0.809642059063151,7,7
"67",-0.832505466969415,0,0.832505466969415,7,7
"68",-0.834121660135648,0,0.834121660135648,7,7
"69",-0.873816272555138,0,0.873816272555138,7,7
"70",-0.858566973302427,0,0.858566973302427,7,7
"71",-0.913858470159821,0,0.913858470159821,7,7
"72",-0.811043221724315,0,0.811043221724315,7,7
"73",1.29874868723239,0,-1.29874868723239,0,0
"74",0.285283244718421,0,-0.285283244718421,0,0
"75",0.332903922374546,0,-0.332903922374546,0,0
"76",-0.587303025581564,0,0.587303025581564,8,8
"77",0.6863635351197,0,-0.6863635351197,0,0
"78",-0.809642059063151,0,0.809642059063151,9,9
"79",-0.832505466969415,0,0.832505466969415,9,9
"80",-0.834121660135648,0,0.834121660135648,9,9
"81",-0.873816272555138,0,0.873816272555138,9,9
"82",-0.858566973302427,0,0.858566973302427,9,9
"83",-0.913858470159821,0,0.913858470159821,9,9
"84",-0.811043221724315,0,0.811043221724315,9,9
"85",0.933471499019956,0,-0.933471499019956,0,0
"86",0.181458724683321,0,-0.181458724683321,0,0
"87",0.146934780285163,0,-0.146934780285163,0,0
"88",-1.35705405134308,0,1.35705405134308,10,10
"89",-0.862188322635213,0,0.862188322635213,10,10
"90",-0.809642059063151,0,0.809642059063151,10,10
"91",-0.832505466969415,0,0.832505466969415,10,10
"92",-0.834121660135648,0,0.834121660135648,10,10
"93",-0.873816272555138,0,0.873816272555138,10,10
"94",-0.858566973302427,0,0.858566973302427,10,10
"95",-0.913858470159821,0,0.913858470159821,10,10
"96",-0.811043221724315,0,0.811043221724315,10,10
"97",-1.68060483272503,0,1.68060483272503,10,10
"98",0.249037478977169,0,-0.249037478977169,10,0
"99",-0.780470292166893,0,0.780470292166893,10,11
"100",-0.376459053256305,0,0.376459053256305,10,11
"101",-0.236362482967289,0,0.236362482967289,10,11
"102",-0.809642059063151,0,0.809642059063151,10,11
"103",-0.832505466969415,0,0.832505466969415,10,11
"104",-0.834121660135648,0,0.834121660135648,10,11
"105",-0.873816272555138,0,0.873816272555138,10,11
"106",-0.858566973302427,0,0.858566973302427,10,11
