Discharge location,lat,lon
TAMMILERU_SPI,17,80
UNDI_SPI,16,81
UNDRAJAVARAM_SPI,16,81
UNGUTURU_SPI,16,81
VEERAVASARAM_SPI,16,81
VIJAYARAI_SPI,16,81
YANDAGANDI_SPI,16,81
YELLURUPADU_SPI,16,81
YERRAKALVA_SPI,17,81
BADAMI_SPI,15,75
BAGALKOT_SPI,16,75
BAGALKOT_SPI,16,75
BAGALKOT_SPI,16,75
BAGALKOTE_SPI,16,75
BILGI_SPI,16,75
GALGALI_SPI,16,75
GUDUR_SPI,16,75
GULEDGUND_SPI,16,75
HONAGAWADI_SPI,16,75
HUNGUND_SPI,16,76
HUNGUND_SPI,16,76
HUNGUND_SPI,16,76
ILKAL_SPI,15,76
JAMKHANDI_SPI,16,75
KALDGI_SPI,16,75
KANDAGAL_SPI,15,76
KARADI_SPI,16,76
KUDALASANGAM_SPI,16,76
LOKAPUR_SPI,16,75
MADARKHANDI_SPI,16,75
MAHALINGAPUR_SPI,16,75
MUDHOL_SPI,16,75
MUDHOL_SPI,16,76
RABKAVI_SPI,16,75
RAMPUR/SITAMARI_SPI,16,75
SAVALGI_SPI,16,75
SULEBHAVI_SPI,15,74
TERDAL_SPI,16,75
ANKALGI_SPI,16,74
ANKALI_SPI,16,74
ARABHAYI_SPI,16,74
ARS._SPI,16,74
ATHANI_SPI,16,75
ATHNI_SPI,16,75
B._SPI,16,74
BAGALKOT_SPI,16,74
BAGEWADI_SPI,15,74
BAIL_SPI,16,74
BAILHONGAL_SPI,15,74
BALEWADI_SPI,15,74
BELAWADI_SPI,15,74
BELGAUM_SPI,15,74
BELGAUM_SPI,15,74
BELGAUM_SPI,15,74
BELGAUM_SPI,15,74
BELGAUM/SAMBRA_SPI,15,74
CHAPOLI_SPI,15,74
CHICKANANDI_SPI,16,75
CHIKODI_SPI,16,74
DADDI_SPI,16,74
DESUR_SPI,15,74
DEVGIRI_SPI,15,74
DHUPADAL_SPI,16,74
GALATHAGA_SPI,16,74
GHATPRABHA/D.DAL_SPI,16,74
GOKAK_SPI,16,74
GUNJI_SPI,15,74
GURLAPURA_SPI,16,74
HALLURA_SPI,16,74
HARUGERI_SPI,16,74
HATTARGI_SPI,16,74
HIDKAL_SPI,16,74
HUKERI_SPI,16,74
HUKERI_SPI,16,74
HULLIKATTI_SPI,15,75
JAMAGAON_SPI,15,74
JAMBOTE_SPI,15,74
JODAHATHY_SPI,16,74
K.CHANDARGE_SPI,16,75
KADASAGATTI_SPI,15,74
KAKATI_SPI,15,74
KALLOLI_SPI,16,74
KATAKOL_SPI,16,75
KHANAPUR_SPI,15,74
KITTUR_SPI,15,74
KOTHANATTI_SPI,16,75
KUDACHI_SPI,16,74
KUDACHI_SPI,16,74
KUDACHY_SPI,16,74
KULGAD/YADVAD_SPI,16,75
M.K.HUBLI_SPI,15,74
MADHABHAVI_SPI,16,75
MADULGI_SPI,16,74
MAHAGAON_SPI,16,74
MALABAD_SPI,16,75
MANOLI_SPI,15,75
MUDAKAVI_SPI,15,75
MUGALAKOD_SPI,16,74
MURUGODU_SPI,15,74
NAVIDTHIRTHA_SPI,15,75
NAVITEERTH_SPI,16,75
NEGINHAL_SPI,15,74
NESARGI_SPI,15,74
NIPANI_SPI,16,74
NIPANI_SPI,16,74
PARASGAD/SOUNDAT_SPI,15,75
RAIBAG_SPI,16,74
RAKKASAKOPPA_SPI,15,74
RAMDURG_SPI,15,75
SADALGA_SPI,16,74
SAMPAGAON/B.HONG_SPI,15,74
SANKESHWAR_SPI,16,74
SANKESHWAR_SPI,16,74
SANKESHWAR_SPI,16,74
SANTI_SPI,15,74
SATTHI_SPI,16,75
SAUNDALY_SPI,16,74
SAUNDATHY_SPI,15,75
SAUNDATTI_SPI,15,75
SHARAPUR_SPI,16,74
SHEDBAL_SPI,16,74
SHIVAPURA_SPI,16,75
SOUNDALGA_SPI,16,74
SOUSADDI_SPI,16,74
SUGAR_SPI,16,74
SULEBHAVI_SPI,15,74
SUTAGATHI_SPI,15,74
SUTTATI_SPI,16,75
TELSANG_SPI,16,75
UCHGAON_SPI,15,74
UGAR_SPI,16,74
YADWAD_SPI,16,74
YANTIBADWAD_SPI,15,74
YELAPARATTI_SPI,16,74
ZADSHAHAPUR_SPI,15,74
ALAMATTI_SPI,16,75
ALAMATTY_SPI,16,75
ANGAWADI_SPI,16,75
ARESHANKAR_SPI,16,76
BABALESHWAR_SPI,16,75
BAGEWADI_SPI,16,75
CHAMADAPUR_SPI,16,75
H._SPI,16,76
HITTANHALLI_SPI,16,75
HUVIA_SPI,16,76
MAMADAPUR_SPI,16,75
MANNAGULI_SPI,16,75
MUDDALAHAL_SPI,16,76
MUDDEBIHAL_SPI,16,76
MUDDEBIHAL_SPI,16,76
NAGARDINNI_SPI,16,75
NALTHAVALE_SPI,16,76
NALWATWAD_SPI,16,76
TALIKOTE_SPI,16,76
TIKOTA_SPI,16,75
VIJAPUR_SPI,16,75
UCHANGI_SPI,15,75
AMMINABHAVI_SPI,15,75
ANNIGERE_SPI,15,75
DHARWAR_SPI,15,75
DHARWAR_SPI,15,75
DHARWAR_SPI,15,75
DHARWAR_SPI,15,75
DHARWAR_SPI,15,75
DHARWAR_SPI,15,75
GARAG_SPI,15,74
KUNDGOL_SPI,15,75
MORAB_SPI,15,75
NAVALGUND_SPI,15,75
TEGUR/ANIMALHUS._SPI,15,74
BELLERI_SPI,15,75
GADAG_SPI,15,75
GADAG_SPI,15,75
GADAG_SPI,15,75
GADAG_SPI,15,75
GAJENDRAGAD_SPI,15,75
HOLE_SPI,15,75
HOMBAL_SPI,15,75
NARGUND_SPI,15,75
RON_SPI,15,75
ALLAPUR(J)_SPI,16,75
HUKKERI_SPI,16,76
KRISHNAPAR_SPI,16,76
TADAS_SPI,15,75
AKHETI_SPI,15,74
WAKI_SPI,15,74
YEKKUMBI_SPI,14,74
ARAKERE_SPI,16,76
CHANDRABHANDA_SPI,16,77
DEODURGA_SPI,16,76
DEOSUGAR_SPI,16,77
GABBUR_SPI,16,77
GAJARHAL_SPI,16,77
GALAG_SPI,16,76
HATTI_SPI,16,76
JALAHALLI_SPI,16,76
LINGASUGUR_SPI,16,76
LINGASUGUR_SPI,16,76
P.W_SPI,16,77
RAICHUR_SPI,16,77
RAICHUR_SPI,16,77
RAICHUR_SPI,16,77
RAICHUR_SPI,16,77
RAICHUR_SPI,16,77
RAICHUR_SPI,16,77
YERMARUS_SPI,16,77
GURUMITTKAL_SPI,16,77
HATTIGUDOOR_SPI,16,76
HUNSAGI_SPI,16,76
KAKKERA_SPI,16,77
KEMBAVI_SPI,16,76
KODAKAL_SPI,16,76
NARAYANPUR_SPI,16,76
SHAHPUR_SPI,16,76
SHORAPUR_SPI,16,76
WADGERA_SPI,16,76
AJRA_SPI,16,74
BHUDARGAD_SPI,16,74
CHANDGAD_SPI,15,74
GADHINGLAJ_SPI,16,74
GARGOTI_SPI,16,74
HATKANANGALE_SPI,16,74
KAGAL_SPI,16,74
KARVEER_SPI,16,74
KOLHAPUR_SPI,16,74
KURUNDWAD_SPI,16,74
PANHALA_SPI,16,74
RADHANAGARI_SPI,16,73
SHAHUWADI_SPI,16,73
SHIROL_SPI,16,74
HIMAYATNAGAR_SPI,17,78
ISLAMPUR_SPI,17,74
KASEGAON_SPI,17,74
MIRAJ_SPI,16,74
PALUS_SPI,17,74
SANGLI_SPI,16,74
SHIRALA_SPI,16,74
TASGAON_SPI,17,74
VITA_SPI,17,74
AUNDH_SPI,17,74
KARAD_SPI,17,74
KHATAO_SPI,17,74
KOREGAON_SPI,17,74
MAHABALESHWAR_SPI,17,73
MAHABALESHWAR_SPI,17,73
MEDHA/JAOLI_SPI,17,73
PANCHGANI_SPI,17,73
PATAN_SPI,17,73
PUSESAULI_SPI,17,74
SATARA_SPI,17,73
SATARA_SPI,17,74
VADUJ_SPI,17,74
WAI_SPI,17,73
BEGUMPET/HYD.AEROBSY_SPI,17,78
GOLKONDA_SPI,17,78
SECUNDERABAD_SPI,17,78
BOINPALLI_SPI,16,79
HUSNABAD_SPI,17,79
ASWARAOPETA_SPI,17,81
BAITHAPALLI_SPI,17,80
BAYYARAM_SPI,17,80
BONAKAL_SPI,17,80
DAMMAPETA_SPI,17,81
DAMPET_SPI,17,81
GARLA_SPI,17,80
KALLUR_SPI,18,80
KALLUR_SPI,17,80
KAMEPALLI_SPI,17,80
KANCHANPALLI_SPI,17,79
KHAMMAM_SPI,17,80
KHAMMAM_SPI,17,80
KHAMMAM(R)_SPI,17,80
KONIJERLA_SPI,17,80
LAKNASAGAR_SPI,17,80
MADHIRA_SPI,16,80
MADHIRA_SPI,16,80
MUDIGONDA_SPI,17,80
PALAIR_SPI,17,79
PALAIR_SPI,17,79
PINAPAKA_SPI,16,80
SINGARENI_SPI,17,80
TIRUMALAYAPALEM_SPI,16,81
WARA_SPI,17,80
YELLANDU_SPI,17,80
YERRUPALEM_SPI,16,80
ACHAMPET_SPI,16,78
AKKASAM/AKKVARAMPWD_SPI,16,79
AMANGAL_SPI,16,78
AMRABAD_SPI,16,78
ATMAKAUR_SPI,16,77
BALANAGAR_SPI,16,78
BALMOOR_SPI,16,78
BIJINAPALLY_SPI,16,78
BOMRASHPET_SPI,16,78
CHANDRASAGAR_SPI,16,78
DAMARGIDDA_SPI,16,77
DEVARKADRA_SPI,16,77
DHANWADA_SPI,16,77
GADWAL_SPI,16,77
GADWAL_SPI,16,77
GHANPUR_SPI,16,78
GOPALPET_SPI,16,78
JURALA_SPI,16,77
KAISKAMPET_SPI,16,78
KALWAKURTHI_SPI,16,78
KESHAMPET_SPI,16,78
KODAIR_SPI,16,78
KODANGAL_SPI,17,77
KODERU_SPI,16,78
KOILKONDA_SPI,16,77
KOLISAGAR_SPI,16,77
KOLLAPUR%KOLHAPUREV_SPI,16,78
KONDURG_SPI,16,78
KOTHAKOTA_SPI,16,77
KOTHUR_SPI,17,79
LINGAL_SPI,16,78
MADDUR_SPI,16,77
MADOOR_SPI,16,77
MAHBUBNAGAR_SPI,16,78
MAHBUBNAGAR_SPI,16,77
MAHBUBNAGAR_SPI,16,77
MAKTHAL%MUKTHAL_SPI,16,77
MALDAKAL_SPI,16,77
MIDJIL_SPI,16,78
MUSIPET_SPI,16,77
MYRIGANDI_SPI,16,78
NAGARKURNOOL_SPI,16,78
NAGARKURNOOL_SPI,16,78
NARAYANA_SPI,16,77
NARVA_SPI,16,77
PANGAL_SPI,16,78
PEBBAIR_SPI,16,77
RAMANNAPADU_SPI,16,77
SARLASAGAR_SPI,16,77
SHADNAGAR_SPI,17,78
SHIDHANOOR_SPI,16,77
SRISAILAM_SPI,16,78
TELKAPALLY_SPI,16,78
TIMMAJIPET_SPI,16,78
UTKOOR_SPI,16,77
VELDANDA_SPI,16,79
WANAPARTHI_SPI,16,78
WEPANGANDLA_SPI,16,78
GHANAPUR_SPI,17,78
MARKOOK(MULUG)_SPI,17,78
